Time,GMSL
1993-01-15,-1.6
1993-02-15,-3.4
1993-03-15,5.5
1993-04-15,0.1
1993-05-15,5.3
1993-06-15,0.2
1993-07-15,3.9
1993-08-15,0.2
1993-09-15,3.1
1993-10-15,-0.1
1993-11-15,0.5
1993-12-15,3.2
1994-01-15,2.9
1994-02-15,0.2
1994-03-15,9.3
1994-04-15,6.6
1994-05-15,2.7
1994-06-15,2.4
1994-07-15,1.5
1994-08-15,3.4
1994-09-15,-0.1
1994-10-15,3.4
1994-11-15,-3.5
1994-12-15,4.0
1995-01-15,2.3
1995-02-15,6.5
1995-03-15,6.9
1995-04-15,10.0
1995-05-15,2.5
1995-06-15,7.8
1995-07-15,0.7
1995-08-15,7.1
1995-09-15,5.0
1995-10-15,7.6
1995-11-15,3.1
1995-12-15,9.5
1996-01-15,0.1
1996-02-15,12.2
1996-03-15,7.5
1996-04-15,12.3
1996-05-15,11.2
1996-06-15,13.9
1996-07-15,13.4
1996-08-15,11.9
1996-09-15,10.8
1996-10-15,19.6
1996-11-15,15.6
1996-12-15,7.6
1997-01-15,10.8
1997-02-15,9.3
1997-03-15,15.0
1997-04-15,12.4
1997-05-15,17.6
1997-06-15,14.8
1997-07-15,21.5
1997-08-15,17.4
1997-09-15,24.2
1997-10-15,16.8
1997-11-15,20.3
1997-12-15,12.5
1998-01-15,20.8
1998-02-15,19.2
1998-03-15,25.9
1998-04-15,23.0
1998-05-15,25.0
1998-06-15,19.4
1998-07-15,24.6
1998-08-15,19.8
1998-09-15,21.7
1998-10-15,21.8
1998-11-15,20.5
1998-12-15,21.5
1999-01-15,22.7
1999-02-15,24.9
1999-03-15,20.6
1999-04-15,22.1
1999-05-15,18.8
1999-06-15,20.6
1999-07-15,19.8
1999-08-15,22.9
1999-09-15,18.0
1999-10-15,28.0
1999-11-15,17.9
1999-12-15,28.8
2000-01-15,22.4
2000-02-15,28.6
2000-03-15,24.5
2000-04-15,27.2
2000-05-15,20.7
2000-06-15,26.7
2000-07-15,20.0
2000-08-15,26.3
2000-09-15,23.0
2000-10-15,30.3
2000-11-15,24.1
2000-12-15,25.7
2001-01-15,26.9
2001-02-15,28.2
2001-03-15,30.4